mutant_id,program,operator,before,after,label
05c6b2dd36854c1a8c31413c8def3cae7afeb697,ArrayUtils.java,AORB,startIndex = array.length - 1;,startIndex = array.length % 1;,0
05d244df79762bf7e4dfd3977dd18d8de262e6c6,Hashmap.c,AOIS,return curr;,return curr--;,1
05ed77f4f3d15c01c973a5b8a1eff446484a0a44,Triangle.java,ISDL,if (a + b < c || a + c < b || b + c < a) { return INVALID; } else { return SCALENE; },,0
064fd644bcbdef48928e318a17d816cf9d3e0eea,Defroster.c,ROR,if (( We1_BA_DEF_ev_ctr0 >= (( signed short ) 3250 )) && error_e > 0 && confirmation_e > 0),if (( We1_BA_DEF_ev_ctr0 >= (( signed short ) 3250 )) && error_e != 0 && confirmation_e > 0),1
0686c219176d47f82f08400fb4d51d07be8290d5,ArrayUtils.java,CR,startIndex = array.length - 1;,startIndex = array.length - 0;,0
068ddbf581d8821391afbe816bad8fe398c6476e,Bisect.java,AOIS,x = (M + x) / 2;,x = (--M + x) / 2;,1
06b34b2ff2c002189d0890b582821b32d8614e67,XmlFriendlyNameCoder.java,ROD,"if (c == dollarReplacementFirstChar && name.startsWith(dollarReplacement, i)) {","if (false && name.startsWith(dollarReplacement, i)) {",0
06bcf30bcd1d10c04907c5d15dfec772f65d783b,Bisect.java,AOIS,m = x;,m = --x;,1
06c268a115067dde295862034a79508c6f60f7d8,ArrayUtils.java,CDL,if (newSize <= 0) {,if (true) {,0
06e3e42925b666adf1f0208af7d6914e469930e9,ArrayUtils.java,ROR,if (startIndex < 0) {,if (startIndex <= 0) {,0
06e48f5f88fbaad479775b1c7cc5b53a61a45f78,Flex.c,ABSI,prefix = arg + i + 1;,prefix = arg + abs(i) + 1;,1
06f6c4a5a35368c7b2ae9e891a4ddb0037f2808f,QuickSort.java,AOIS,for (int i = 1; i < data.length; i++) {,for (int i = 1; --i < data.length; i++) {,0
0711ad5067f89a132c977b1b1407ce9961b51a1d,Triangle.java,CDL,if (trian == 2 && a + c > b) {,if (true && a + c > b) {,0
0728169f1cd3f733466f56649db8fbfca39a01d9,ArrayUtils.java,ROD,if (valueToFind == array[i]) {,if (false) {,0
074187f14f39398b79201634d029b8fab2b12055,Defroster.java,AOIS,if (( We1_BA_DEF_ev_ctr0 >= ((  int ) 3250 )) && error_e > 0 && confirmation_e > 0),if (( We1_BA_DEF_ev_ctr0 >= ((  int ) 3250 )) && error_e++ > 0 && confirmation_e > 0),1
0746bef5ef0f848becc42515a4c62f38c01a9a80,Triangle.java,CDL,if (trian == 3 && b + c > a) {,if (true && b + c > a) {,0
0799bf22f9929dfdfeeec3a0577ea2c5777b2749,Triangle.java,ROR,if (a <= 0 || b <= 0 || c <= 0) {,if (a <= 0 || b <= 0 || c >= 0) {,0
07b92f21f36b8f3b3911442f50f1d738fa28a3f8,Defroster.c,AOIS,We1_BA_DEF = We1_BA_DEF_ev_ctr2 * We1_BA_DEF_ev_ctr2 - ( We1_BA_DEF_ev_ctr3 - 1000);,We1_BA_DEF = We1_BA_DEF_ev_ctr2 * --We1_BA_DEF_ev_ctr2 - ( We1_BA_DEF_ev_ctr3 - 1000);,1
07c49a0947d1b364a34f39c5cc5fbf0a0314e2ca,Triangle.java,AOIS,if (trian > 3) {,if (--trian > 3) {,0
07d19cb3a36857b6645d1b88d22e8c1a611493c4,Vector3D.java,AORB,"return new Vector3D(inverse * y, -inverse * x, 0);","return new Vector3D(inverse * y, -inverse + x, 0);",0
07d9778b4b92d3a036a9fa12f91df7dd93e4e15d,ArrayUtils.java,CR,for (int i = startIndex; i >= 0; i--) {,for (int i = startIndex; i >= 1; i--) {,0
07dd12bd18c8242671cf192c9514a62a485746a5,ArrayUtils.java,VDL,if (ArrayUtils.isEmpty(array)) {,if (false) {,0
07f01009cc8707d3f70157884500148111e376b7,Flex.c,ABSI,input_files = argv; nextecm[csize] = NIL;,input_files = abs(argv); nextecm[csize] = -abs(NIL);,1
08185e220f1e98de2c0fc157a2774457b9234dd1,XmlFriendlyNameCoder.java,AORB,i += escapeCharReplacement.length() - 1;,i += escapeCharReplacement.length() % 1;,0
08389746d45341bf7c9fa55c0a117911b26edc07,ArrayUtils.java,AOIU,if (newSize <= 0) {,if (newSize <= -1) {,0
084fce23528c540d3382821d61f15aa7943f6078,Simulator.java,ROD,for (int i = 0; i < nodesList.size(); i++) {,for (int i = 0; false; i++) {,0
08521d3dbc43b44f2d5b0d97436204a07ad87a37,ArrayUtils.java,FCDL,"map.put(entry[0], entry[1]);",;,0
089822cdbf86e3556dba22fd207a4e9fde4b79da,Bisect.java,AOIS,x = (m + x) / 2;,x = (m + --x) / 2;,0
08a51a1f37666d984ddb620ebef7472ccf61e404,Triangle.java,SEOI,if (a <= 0 || b <= 0 || c <= 0) {,if (a <= 0 || b <= 0 || !(c <= 0)) {,0
08a9b270b77f6c2773623bba2f97fba2c192dac7,Replace.c,ABSI,i = start;,i = abs(start);,1
08d1a5f18f98ad6f645e63bb5afe139c27fbf9d0,ArrayUtils.java,CR,startIndex = array.length - 1;,startIndex = array.length - 0;,0
08f3162b95b3188974f9162a1551b0404fbf09e2,WordUtils.java,AORB,"spaceToWrapAt = str.indexOf(' ', wrapLength + offset);","spaceToWrapAt = str.indexOf(' ', wrapLength - offset);",0
0912043aa7d1d485ac5f961b24542858b4ccfd2c,Simulator.java,AOIU,for (int i = 0; i < nodesList.size(); i++) {,for (int i = -1; i < nodesList.size(); i++) {,0
0933a6b7faa4902b4daff8844317321ecd1c7507,Defroster.c,ROR,if ( request > 0 && ( error_e == 0)),if ( request != 0 && ( error_e == 0)),1
0935de4de40d5a428985d5e71da05936b821ccdc,Bisect.java,AOIU,M = x;,M = -x;,0
0954712c4b2c0f0a183ae630a260c28d6e67c8c5,Triangle.java,AOIS,if (a == c) {,if (a == c++) {,0
0983f3b451c872fe5563320efda9bbc93ca3f1a2,Bisect.java,AOIS,if (diff < 0) {,if (++diff < 0) {,0
09ac32e7d339c2d7b15c0ed687c28552d1e98b05,Defroster.java,ROR,if (( We1_BA_DEF_ev_ctr0 >= ((  int ) 3250 )) && error_e > 0 && confirmation_e > 0),if (( We1_BA_DEF_ev_ctr0 >= ((  int ) 3250 )) && error_e >= 0 && confirmation_e > 0),1
09b0200420672a0eb474e8134c33225e09a8703f,Space.c,ROR,if (strlen(WORD) == 0) {,if (strlen(WORD) <= 0) {,1
09b704d2e4505cdc9fb015848ef0d63a7ac94a2b,ArrayUtils.java,AOIU,if (startIndex < 0) {,if (startIndex < -1) {,0
09b934160e3342212f313253592e863608ce98f5,Triangle.java,SEOI,if (a + b < c || a + c < b || b + c < a) {,if (!(a + b < c || a + c < b || b + c < a)) {,0
09e72edf79f5f50be6819b41495947a0c30bcb3a,ArrayUtils.java,ROR,if (endIndexExclusive > array.length) {,if (endIndexExclusive != array.length) {,0
09f82dc4eee7530703aafe5a13b4e837123e3bdd,Triangle.java,,if (a + b < c || a + c < b || b + c < a) {,if ((a + b < c || a + c < b) != b + c < a) {,0
0a0b857780bb23164e398074e82d8c8f2fc2cbfa,Bisect.java,AOIS,double diff = x * x - N;,double diff = x * x - N++;,0
0a14a99ab37e2e7cca2fd5dd16ba3dda419fb723,Triangle.java,AOIU,if (trian > 3) {,if (trian > -3) {,0
0a156d2f3c8713b083522f192318ccdd09c81111,Bisect.java,AOIS,while (Math.abs(diff) > mEpsilon) {,while (Math.abs( --diff ) > mEpsilon) {,0
0a1dcf113b1641d4df8f7cd41761894937d7606d,ArrayUtils.java,CR,startIndexInclusive = 0;,startIndexInclusive = 1;,0
0a3aca2ea6e809e4997a96c9eeaa8339279ba0da,QuickSort.java,ROR,if (upper + 1 < last) {,if (upper + 1 <= last) {,0
0a715a99489a780416caed40675ea3c92a74a860,Replace.c,AOIU,"junk = addstr(DASH, dest, j, maxset);","junk = addstr(DASH, dest, abs(j), maxset);",1
0a7d336f54d06b3ab54e6a423755ee94a8873f48,QuickSort.java,ISDL,"if (lower < upper) { swap( data, lower++, upper-- ); } else { lower++; }",,0
0a9e962f5e564e5354c86c16107bb9a8fa8af179,Replace.c,AOIS,"junk = addstr(escjunk, sub, &j, MAXPAT);","junk = addstr(escjunk--, sub, &j, MAXPAT);",1
0aa1cb4cf1d0be17ea8a55f59849f295c6a3da8d,Defroster.java,AORB,We1_BA_DEF = We1_BA_DEF_ev_ctr2 * We1_BA_DEF_ev_ctr2 - ( We1_BA_DEF_ev_ctr3 - 1000);,We1_BA_DEF = We1_BA_DEF_ev_ctr2 * We1_BA_DEF_ev_ctr2 / ( We1_BA_DEF_ev_ctr3 - 1000);,1
0aa84951935b2cf0ca7f9bd52673a759d6b5c929,Hashmap.c,ABSI,"curr = hashmap_hash_int(m, key);","curr = hashmap_hash_int(abs(m), key);",1
0ab19df2001a281e72a590a5cff4756c49335840,Triangle.java,LOI,if (b == c) {,if (~b == c) {,0
0ab7610981b62722b6384b2592f13dcf76b4f723,QuickSort.java,AODS,"swap( data, lower++, upper-- );","swap( data, lower, upper-- );",0
0ac61390e37259ad6e5d807ed5bbafbe43f2eb70,QuickSort.java,AORB,"quicksort( data, first, upper - 1 );","quicksort( data, first, upper * 1 );",0
0adc438ed2da2f5d21e65724b171740164eaf4c7,Space.c,ROR,while ((p != NULL) && (p->LINE_NUM == err_ptr->LINE_NUM)) {,while ((p > NULL) && (p->LINE_NUM == err_ptr->LINE_NUM)) {,1
0af12f0c11273dfb05720b383b60297751b35ab6,WordUtils.java,ROD,int delimLen = delimiters == null ? -1 : delimiters.length;,int delimLen = false ? -1 : delimiters.length;,0
0afdad67de35910215b4b52d70330c5b944e2a81,Triangle.java,VDL,return INVALID;,return 0;,0
0b00046899e74d8a4f55c01b30be42fc2d91e652,Profit.c,AOIS,if(i<=100000),if(i++<=100000),0
0b19b88efd9515e67b54168fca4c366802151d3e,WordUtils.java,ADL,offset++;,;,0
0b1ae38145a11d72eee46a560f8ad86cb9b5c6a3,ArrayUtils.java,ROR,} else if (startIndex >= array.length) {,} else if (startIndex == array.length) {,0
0b314993ed2a2f852004081c5670dec2b5d740d2,ArrayUtils.java,ROR,if (startIndex < 0) {,if (startIndex <= 0) {,0
0b40711312b398606c8d5019009c9bd8a77eaa1a,Profit.java,ABSI,bonus=bonus4+(i-400000)*0.03;,bonus=bonus4+(abs(i)-400000)*0.03;,1
0b46dd659de8dd429f8a5d357e8aa18fd832ffcd,ArrayUtils.java,ROR,if (startIndexInclusive < 0) {,if (startIndexInclusive <= 0) {,0
0b4d72ee49a0fcfab455d64c52f3bec101adc072,Replace.c,AOIU,*i = *i + 1;,*i = abs(*i) + 1;,1
0b64e8db413b6847c19dba8598be1ae69c8cdcc3,Profit.c,AORB,bonus=bonus4+(i-400000)*0.03;,bonus=bonus4+(i%400000)*0.03;,1
0b7588dd6cee95f301087f33a473048c2d751599,Bisect.java,CDL,if (diff < 0) {,if (true) {,0
0b8741efd49f1686715fde6c1955cc3269280d72,Bisect.java,AORB,x = (M + x) / 2;,x = (M + x) * 2;,0
0b95f017da826b1f5d523910388acb663cf53f99,QuickSort.java,AOIS,while (bound < data[upper]) {,while (bound < data[upper--]) {,0
0ba07d4747e9caee97262442af4a95aea7c62896,Replace.c,ABSI,"junk = addstr(escjunk, pat, &j, MAXPAT);","junk = addstr(abs(escjunk), pat, &j, MAXPAT);",1
0bb4bca49150d18c2ec7b67f3526076213a4caff,Triangle.java,SEOI,if (trian == 0) {,if (!(trian == 0)) {,0
0bbebc1c6788818748312e869c36b39afcdc9409,Triangle.java,AORB,if (a + b < c || a + c < b || b + c < a) {,if (a + b < c || b + c < a) {,0
0bc4b7c50d6da68c213971ce7a43cadc2d09f000,Simulator.java,AORB,float nAifsd = sifs + 2 * slot;,float nAifsd = sifs * (2 * slot);,1
0bc9bcd902ec26d137e588168b332691da97874e,ArrayUtils.java,AORB,int newSize = endIndexExclusive - startIndexInclusive;,int newSize = endIndexExclusive + startIndexInclusive;,0
0be4abdaed4103eb2411d12ecf366bdff9e9e592,Calendar.c,ABSI,day_code = (year + x1 - x2 + x3) %7;,day_code = (year + x1 - x2 + abs(x3)) %7;,1
0be91a10c61677c74b70791d90df2c88f624c8a2,ArrayUtils.java,AOIU,if (startIndex < 0) {,if (startIndex < -1) {,1
0bf6dda4afede887efa19fbb51398d581d95268e,Bisect.java,AOIS,x = (M + x) / 2;,x = (M + ++x) / 2;,1
0bfac579477b58cba4019a89f9dd9a6e865dbd57,Replace.c,AOIS,if (*j >= maxset),if (*j >= maxset--),1
0c1139e9780368322510ce7f4640462a9bacad55,QuickSort.java,AOIS,if (upper + 1 < last) {,if (++upper + 1 < last) {,0
0c2399ac94c54c7e7b96eaaf7b181b716675ee33,Carsimulator.c,AOIS,fspeed = fspeed+((throttle - fspeed/airResistance - 2*brakepedal))/ticksPerSecond;,fspeed = fspeed+((throttle - fspeed--/airResistance - 2*brakepedal))/ticksPerSecond;,1
0c29dad8b78c008d84e6149bd28618d2f101e843,Profit.c,ABSI,bonus=bonus10+(i-1000000)*0.01;,bonus=bonus10+(abs(i)-1000000)*0.01;,1
0c2be59d578def01a3250bc7bea3e408a32d9efb,Replace.c,ABSI,"junk = addstr(BOL, pat, &j, MAXPAT);","junk = addstr(abs(BOL), pat, &j, MAXPAT);",1
0c52aa7bd073806b4a92a39172d8cecc99b813d2,ArrayUtils.java,ROD,if (array[i] >= min && array[i] <= max) {,if (array[i] <= max) {,0
0c5b49a2ec7c0e3585b88e544877347ea685e027,WordUtils.java,VDL,"if (isDelimiter(ch, delimiters)) {",if (true) {,0
0c6ed8171c7ed1b54585412fbe1bf97dc58104c5,Flex.c,ABSI,input_files = argv; ecgroup[i] = i - 1;,input_files = abs(argv); ecgroup[i] = abs(i) - 1;,1
0c727dc4f60ee9466052850a8c9d81ece9244dce,Replace.c,AOIS,Caseerror(pat[j]);,Caseerror(pat[j++]);,1
0c759e78eaeb8fd42dfd367bcaa9d6eacac82518,Triangle.java,ROR,if (a == b) {,if (a >= b) {,0
